name_eng,name_np
Taplejung,ताप्लेजुङ
Sankhuwasabha,संखुवासभा
Solukhumbu,सोलुखुम्बु
Okhaldhunga,ओखलढुङ्गा
Khotang,खोटाङ
Bhojpur,भोजपुर
Dhankuta,धनकुटा
Terhathum,तेह्रथुम
Panchthar,पाँचथर
Ilam,इलाम
Jhapa,झापा
Morang,मोरङ
Sunsari,सुनसरी
Udayapur,उदयपुर
Saptari,सप्तरी
Siraha,सिरहा
Dhanusa,धनुषा
Mahottari,महोत्तरी
Sarlahi,सर्लाही
Rautahat,रौतहट
Bara,बारा
Parsa,पर्सा
Dolakha,दोलखा
Sindhupalchok,सिन्धुपाल्चोक
Rasuwa,रसुवा
Dhading,धादिङ
Nuwakot,नुवाकोट
Kathmandu,काठमाडौँ
Bhaktapur,भक्तपुर
Lalitpur,ललितपुर
Kavrepalanchok,काभ्रेपलाञ्चोक
Ramechhap,रामेछाप
Sindhuli,सिन्धुली
Makwanpur,मकवानपुर
Chitwan,चितवन
Gorkha,गोरखा
Manang,मनाङ
Mustang,मुस्ताङ
Myagdi,म्याग्दी
Kaski,कास्की
Lamjung,लमजुङ
Tanahu,तनहुँ
Nawalparasi(बर्दघाट सुस्ता पूर्व),नवलपरासी (बर्दघाट सुस्ता पूर्व)
Syangja,स्याङ्जा
Parbat,पर्वत
Baglung,बाग्लुङ
Rukum,रुकुम (पूर्वी भाग)
Rolpa,रोल्पा
Pyuthan,प्यूठान
Gulmi,गुल्मी
Arghakhanchi,अर्घाखाँची
Palpa,पाल्पा
Nawalparasi,नवलपरासी
Rupandehi,रूपन्देही
Kapilvastu,कपिलवस्तु
Dang,दाङ
Banke,बाँके
Bardiya,बर्दिया
Dolpa,डोल्पा
Mugu,मुगु
Humla,हुम्ला
Jumla,जुम्ला
Kalikot,कालिकोट
Dailekh,दैलेख
Jajarkot,जाजरकोट
Rukum(पश्चिम भाग),रुकुम (पश्चिम भाग)
Salyan,सल्यान
Surkhet,सुर्खेत
Bajura,बाजुरा
Darchula,दार्चुला
Baitadi,बैतडी
Dadeldhura,डँडेलधुरा
Doti,डोटी
Achham,अछाम
Kailali,कैलाली
Kanchanpur,कञ्चनपुर
Bajhang,बझाङ
