province_level,level_code,name,district
1,10101,फक्ताङ्लुङ्ग गाउँपालिका,ताप्लेजुङ
1,10102,मिक्वाखोला गाउँपालिका,ताप्लेजुङ
1,10103,मेरिङ्गदेन गाउँपालिका,ताप्लेजुङ
1,10104,मैवाखोला गाउँपालिका,ताप्लेजुङ
1,10105,आठराई त्रिवेणी गाउँपालिका,ताप्लेजुङ
1,10106,फुङलिङ्ग नगरपालिका,ताप्लेजुङ
1,10107,पाथिभरा याङ्वराक गाउँपालिका,ताप्लेजुङ
1,10108,सिरीजङ्गा गाउँपालिका,ताप्लेजुङ
1,10109,सिदिङ्गवा गाउँपालिका,ताप्लेजुङ
1,10201,भोटखोला गाउँपालिका,संखुवासभा
1,10202,मकालु गाउँपालिका,संखुवासभा
1,10203,सिलीचोङ गाउँपालिका,संखुवासभा
1,10204,चिचिला गाउँपालिका,संखुवासभा
1,10205,सभापोखरी गाउँपालिका,संखुवासभा
1,10206,खाँदबारी नगरपालिका,संखुवासभा
1,10207,पाँचखपन नगरपालिका,संखुवासभा
1,10208,चैनपुर नगरपालिका,संखुवासभा
1,10209,मादी नगरपालिका,संखुवासभा
1,10210,धर्मदेवी नगरपालिका,संखुवासभा
1,10301,खुम्बु पासाङल्हामु गाउँपालिका,सोलुखुम्बु
1,10302,माहाकुलुङ गाउँपालिका,सोलुखुम्बु
1,10303,सोताङ गाउँपालिका,सोलुखुम्बु
1,10304,माप्य दुधकोशी गाउँपालिका,सोलुखुम्बु
1,10305,थुलुङ दुधकोशी गाउँपालिका,सोलुखुम्बु
1,10306,नेचासल्यान गाउँपालिका,सोलुखुम्बु
1,10307,सोलुदुधकुण्ड नगरपालिका,सोलुखुम्बु
1,10308,लिखु पिके गाउँपालिका,सोलुखुम्बु
1,10401,चिशंखुगढी गाउँपालिका,ओखलढुङ्गा
1,10402,सिद्धिचरण नगरपालिका,ओखलढुङ्गा
1,10403,मोलुङ्ग गाउँपालिका,ओखलढुङ्गा
1,10404,खिजीदेम्बा गाउँपालिका,ओखलढुङ्गा
1,10405,लिखु गाउँपालिका,ओखलढुङ्गा
1,10406,चम्पादेवी गाउँपालिका,ओखलढुङ्गा
1,10407,सुनकोशी गाउँपालिका,ओखलढुङ्गा
1,10408,मानेभन्ज्याङ्ग गाउँपालिका,ओखलढुङ्गा
1,10501,केपिलासगढी गाउँपालिका,खोटाङ
1,10502,ऐसेलुखर्क गाउँपालिका,खोटाङ
1,10503,रावा बेसी गाउँपालिका,खोटाङ
1,10504,हलेसी तुवाचुङ नगरपालिका,खोटाङ
1,10505,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,खोटाङ
1,10506,साकेला गाउँपालिका,खोटाङ
1,10507,दिप्रुङ चुइचुम्मा गाउँपालिका,खोटाङ
1,10508,खोटेहाङ गाउँपालिका,खोटाङ
1,10509,जन्तेढुङ्गा गाउँपालिका,खोटाङ
1,10510,बराहपोखरी गाउँपालिका,खोटाङ
1,10601,षडानन्द नगरपालिका,भोजपुर
1,10602,साल्पासिलिछो गाउँपालिका,भोजपुर
1,10603,टेम्केमैयुङ गाउँपालिका,भोजपुर
1,10604,भोजपुर नगरपालिका,भोजपुर
1,10605,अरुण गाउँपालिका,भोजपुर
1,10606,पौवा दुङ्मा गाउँपालिका,भोजपुर
1,10607,रामप्रसाद राई गाउँपालिका,भोजपुर
1,10608,हतुवागढी गाउँपालिका,भोजपुर
1,10609,आमचोक गाउँपालिका,भोजपुर
1,10701,महालक्ष्मी नगरपालिका,धनकुटा
1,10702,पाख्रिबास नगरपालिका,धनकुटा
1,10703,छथर जोरपाटी गाउँपालिका,धनकुटा
1,10704,धनकुटा नगरपालिका,धनकुटा
1,10705,सहिदभूमि गाउँपालिका,धनकुटा
1,10706,साँगुरीगढी गाउँपालिका,धनकुटा
1,10707,चौविसे गाउँपालिका,धनकुटा
1,10801,आठराई गाउँपालिका,तेह्रथुम
1,10802,फेदाप गाउँपालिका,तेह्रथुम
1,10803,मेन्छयायेम गाउँपालिका,तेह्रथुम
1,10804,म्याङ्गलुङ्ग नगरपालिका,तेह्रथुम
1,10805,लालीगुराँस नगरपालिका,तेह्रथुम
1,10806,छथर गाउँपालिका,तेह्रथुम
1,10901,याङवरक गाउँपालिका,पाँचथर
1,10902,हिलिहाङ्ग गाउँपालिका,पाँचथर
1,10903,फालेलुङ्ग गाउँपालिका,पाँचथर
1,10904,फिदिम नगरपालिका,पाँचथर
1,10905,फाल्गुनन्द गाउँपालिका,पाँचथर
1,10906,कुम्मायक गाउँपालिका,पाँचथर
1,10907,तुम्बेवा गाउँपालिका,पाँचथर
1,10908,मिक्लाजुङ गाउँपालिका,पाँचथर
1,11001,माई जोगमाई गाउँपालिका,इलाम
1,11002,सन्दकपुर गाउँपालिका,इलाम
1,11003,इलाम नगरपालिका,इलाम
1,11004,देउमाई नगरपालिका,इलाम
1,11005,फाकफोकथुम गाउँपालिका,इलाम
1,11006,माङसेबुङ गाउापालिका,इलाम
1,11007,चुलाचुली गाउँपालिका,इलाम
1,11008,माई नगरपालिका,इलाम
1,11009,सूर्योदय नगरपालिका,इलाम
1,11010,रोङ गाउँपालिका,इलाम
1,11101,मेचीनगर नगरपालिका,झापा
1,11102,बुद्धशान्ति गाउँपालिका,झापा
1,11103,अर्जुनधारा नगरपालिका,झापा
1,11104,कन्काई नगरपालिका,झापा
1,11105,शिवसताक्षी नगरपालिका,झापा
1,11106,कमल गाउँपालिका,झापा
1,11107,दमक नगरपालिका,झापा
1,11108,गौरादह नगरपालिका,झापा
1,11109,गौरीगन्‍ज गाउँपालिका,झापा
1,11110,झापा गाउँपालिका,झापा
1,11111,बाह्रदशी गाउँपालिका,झापा
1,11112,बिर्तामोड नगरपालिका,झापा
1,11113,हल्दीबारी गाउँपालिका,झापा
1,11114,भद्रमपुर नगरपालिका,झापा
1,11115,कचनकवल गाउँपालिका,झापा
1,11201,मिक्लाजुङ्ग गाउँपालिका,मोरङ
1,11202,लेटाङ नगरपालिका,मोरङ
1,11203,केराबारी गाउँपालिका,मोरङ
1,11204,सुन्दरहरैंचा नगरपालिका,मोरङ
1,11205,बेलबारी नगरपालिका,मोरङ
1,11206,कानेपोखरी गाउँपालिका,मोरङ
1,11207,पथरी शनिश्चरे नगरपालिका,मोरङ
1,11208,उर्लाबारी नगरपालिका,मोरङ
1,11209,रतुवामाई नगरपालिका,मोरङ
1,11210,सुनवर्षी नगरपालिका,मोरङ
1,11211,रंगेली नगरपालिका,मोरङ
1,11212,ग्रामथान गाउँपालिका,मोरङ
1,11213,बुढीगंगा गाउँपालिका,मोरङ
1,11214,विराटनगर महानगरपालिका,मोरङ
1,11215,कटहरी गाउँपालिका,मोरङ
1,11216,धनपालथान गाउँपालिका,मोरङ
1,11217,जहदा गाउँपालिका,मोरङ
1,11301,धरान उपमहानगरपालिका,सुनसरी
1,11302,बराहक्षेत्र नगरपालिका,सुनसरी
1,11303,कोशी गाउँपालिका,सुनसरी
1,11304,भोक्राहा नरसिंह गाउँपालिका,सुनसरी
1,11305,रामधुनी नगरपालिका,सुनसरी
1,11306,इटहरी उपमहानगरपालिका,सुनसरी
1,11307,दुहबी नगरपालिका,सुनसरी
1,11308,गढी गाउँपालिका,सुनसरी
1,11309,इनरुवा नगरपालिका,सुनसरी
1,11310,हरिनगर गाउँपालिका,सुनसरी
1,11311,देवानगन्ज गाउँपालिका,सुनसरी
1,11312,बर्जु गाउँपालिका,सुनसरी
1,11401,बेलका नगरपालिका,उदयपुर
1,11402,चौदण्डीगढी नगरपालिका,उदयपुर
1,11403,त्रियुगा नगरपालिका,उदयपुर
1,11404,रौतामाई गाउँपालिका,उदयपुर
1,11405,लिम्चुङ्बुङ गाउँपालिका,उदयपुर
1,11406,ताप्ली गाउँपालिका,उदयपुर
1,11407,कटारी नगरपालिका,उदयपुर
1,11408,उदयपुरगढी गाउँपालिका,उदयपुर
2,20101,सप्तकोशी नगरपालिका,सप्तरी
2,20102,कन्चनरुप नगरपालिका,सप्तरी
2,20103,अग्मीसयर कृष्ण सवरन गाउँपालिका,सप्तरी
2,20104,रुपनी गाउँपालिका,सप्तरी
2,20105,शम्भुनाथ नगरपालिका,सप्तरी
2,20106,खडक नगरपालिका,सप्तरी
2,20107,सुरुङ्गा नगरपालिका,सप्तरी
2,20108,बलान बिहुल गाउँपालिका,सप्तरी
2,20109,बोदेबरसाईन नगरपालिका,सप्तरी
2,20110,डाक्नेश्वरी नगरपालिका,सप्तरी
2,20111,राजगढ गाउँपालिका,सप्तरी
2,20112,विष्णुपुर गाउँपालिका,सप्तरी
2,20113,राजविराज नगरपालिका,सप्तरी
2,20114,महादेवा गाउँपालिका,सप्तरी
2,20115,तिरहुत गाउँपालिका,सप्तरी
2,20116,हनुमाननगर कङ्कालिनी नगरपालिका,सप्तरी
2,20117,तिलाठी कोइलाडी गाउँपालिका,सप्तरी
2,20118,छिन्नमस्ता गाउँपालिका,सप्तरी
2,20201,लहान नगरपालिका,सिरहा
2,20202,धनगढीमाई नगरपालिका,सिरहा
2,20203,गोलबजार नगरपालिका,सिरहा
2,20204,मिर्चेया नगरपालिका,सिरहा
2,20205,कर्जन्हा नगरपालिका,सिरहा
2,20206,कल्याणपुर नगरपालिका,सिरहा
2,20207,नरहा गाउँपालिका,सिरहा
2,20208,विष्णुपुर गाउँपालिका,सिरहा
2,20209,अर्नमा गाउँपालिका,सिरहा
2,20210,सुखीपुर नगरपालिका,सिरहा
2,20211,लक्ष्मीपुर पतारी गाउँपालिका,सिरहा
2,20212,सखुवानान्कारकट्टी गाउँपालिका,सिरहा
2,20213,भगवानपुर गाउँपालिका,सिरहा
2,20214,नवराजपुर गाउँपालिका,सिरहा
2,20215,बरियारपट्टी गाउँपालिका,सिरहा
2,20216,औरही गाउँपालिका,सिरहा
2,20217,सिराहा नगरपालिका,सिरहा
2,20301,गणेशमान चारनाथ नगरपालिका,धनुषा
2,20302,धनुषाधाम नगरपालिका,धनुषा
2,20303,मिथिला नगरपालिका,धनुषा
2,20304,बटेश्वर गाउँपालिका,धनुषा
2,20305,क्षिरेश्वरनाथ नगरपालिका,धनुषा
2,20306,लक्ष्मीनिया गाउँपालिका,धनुषा
2,20307,मिथिला बिहारी नगरपालिका,धनुषा
2,20308,हंसपुर नगरपालिका,धनुषा
2,20309,सबैला नगरपालिका,धनुषा
2,20310,शहीदनगर नगरपालिका,धनुषा
2,20311,कमला नगरपालिका,धनुषा
2,20312,जनक नन्दिनी गाउँपालिका,धनुषा
2,20313,बिदेह नगरपालिका,धनुषा
2,20314,औरही गाउँपालिका,धनुषा
2,20315,जनकपुरधाम उपमहानगरपालिका,धनुषा
2,20316,धनौजी गाउँपालिका,धनुषा
2,20317,नगराइन नगरपालिका,धनुषा
2,20318,मुखियापट्टी मुसहरमिया गाउँपालिका,धनुषा
2,20401,बर्दिबास नगरपालिका,महोत्तरी
2,20402,गौशाला नगरपालिका,महोत्तरी
2,20403,सोनमा गाउँपालिका,महोत्तरी
2,20404,औरही नगरपालिका,महोत्तरी
2,20405,भँगाहा नगरपालिका,महोत्तरी
2,20406,लोहरपट्टी नगरपालिका,महोत्तरी
2,20407,बलवा नगरपालिका,महोत्तरी
2,20408,राम गोपालपुर नगरपालिका,महोत्तरी
2,20409,साम्सी गाउँपालिका,महोत्तरी
2,20410,मनरा शिसवा नगरपालिका,महोत्तरी
2,20411,एकडारा गाउँपालिका,महोत्तरी
2,20412,महोत्तरी गाउँपालिका,महोत्तरी
2,20413,पिपरा गाउँपालिका,महोत्तरी
2,20414,मटिहानी नगरपालिका,महोत्तरी
2,20415,जलेश्वर नगरपालिका,महोत्तरी
2,20501,लालबन्दी नगरपालिका,सर्लाही
2,20502,हरिवन नगरपालिका,सर्लाही
2,20503,बागमती नगरपालिका,सर्लाही
2,20504,बरहथवा नगरपालिका,सर्लाही
2,20505,हरिपुर नगरपालिका,सर्लाही
2,20506,ईश्वरपुर नगरपालिका,सर्लाही
2,20507,हरिपुर्वा नगरपालिका,सर्लाही
2,20508,पर्सा गाउँपालिका,सर्लाही
2,20509,ब्रह्मपुरी गाउँपालिका,सर्लाही
2,20510,चन्द्रनगर गाउँपालिका,सर्लाही
2,20511,कविलासी नगरपालिका,सर्लाही
2,20512,चक्रघट्टा गाउँपालिका,सर्लाही
2,20513,बसबरिया गाउँपालिका,सर्लाही
2,20514,धनकौल गाउँपालिका,सर्लाही
2,20515,रामनगर गाउँपालिका,सर्लाही
2,20516,बलरा नगरपालिका,सर्लाही
2,20517,गोडैटा नगरपालिका,सर्लाही
2,20518,विष्णु गाउँपालिका,सर्लाही
2,20519,कौडेना गाउँपालिका,सर्लाही
2,20520,मलंगवा नगरपालिका,सर्लाही
2,20601,चन्द्रपुर नगरपालिका,रौतहट
2,20602,गुजरा नगरपालिका,रौतहट
2,20603,फतुवा बिजयपुर नगरपालिका,रौतहट
2,20604,कटहरिया नगरपालिका,रौतहट
2,20605,वृन्दावन नगरपालिका,रौतहट
2,20606,गढीमाई नगरपालिका,रौतहट
2,20607,माधव नारायण नगरपालिका,रौतहट
2,20608,गरुडा नगरपालिका,रौतहट
2,20609,देवाही गोनाही नगरपालिका,रौतहट
2,20610,मौलापुर नगरपालिका,रौतहट
2,20611,बौधीमाई नगरपालिका,रौतहट
2,20612,परोहा नगरपालिका,रौतहट
2,20613,राजपुर नगरपालिका,रौतहट
2,20614,यमुनामाई गाउँपालिका,रौतहट
2,20615,दुर्गा भगवती गाउँपालिका,रौतहट
2,20616,राजदेवी नगरपालिका,रौतहट
2,20617,गौर नगरपालिका,रौतहट
2,20618,ईशनाथ नगरपालिका,रौतहट
2,20701,निजगढ नगरपालिका,बारा
2,20702,कोल्हवी नगरपालिका,बारा
2,20703,जीतपुर सिमरा उपमहानगरपालिका,बारा
2,20704,परवानीपुर गाउँपालिका,बारा
2,20705,प्रसौनी गाउँपालिका,बारा
2,20706,विश्रामपुर गाउँपालिका,बारा
2,20707,फेटा गाउँपालिका,बारा
2,20708,कलैया उपमहानगरपालिका,बारा
2,20709,करैयामाई गाउँपालिका,बारा
2,20710,बारागढी गाउँपालिका,बारा
2,20711,आदर्श कोटवाल गाउँपालिका,बारा
2,20712,सिम्रौनगढ नगरपालिका,बारा
2,20713,पचरौता नगरपालिका,बारा
2,20714,महागढीमाई नगरपालिका,बारा
2,20715,देवताल गाउँपालिका,बारा
2,20716,सुवर्ण गाउँपालिका,बारा
2,20801,ठोरी (सुवर्णपुर) गाउँपालिका,पर्सा
2,20802,जिराभवानी गाउँपालिका,पर्सा
2,20803,जगरनाथपुर गाउँपालिका,पर्सा
2,20804,पटेर्वा सुगौली गाउँपालिका,पर्सा
2,20805,सखुवा प्रसौनी गाउँपालिका,पर्सा
2,20806,पर्सागढी नगरपालिका,पर्सा
